Part type,Part name,Rank,StackHeight,CA Mirror,Data mask,Address width,Row width,Column width,Bank width,Bank group width,CS width,CKE width,ODT width,CK width,Memory speed grade,Memory density,Component density,Memory device width,Memory component width,Data bits per strobe,IO Voltages,Data widths,Min period,Max period,tCKE,tFAW,tFAW_dlr,tMRD,tRAS,tRCD,tREFI,tRFC,tRFC_dlr,tRP,tRRD_S,tRRD_L,tRRD_dlr,tRTP,tWR,tWTR_S,tWTR_L,tXPR,tZQCS,tZQINIT,tCCD_3ds,cas latency,cas write latency,burst length
LRDIMMs,HMA84GL7AFR4N-PB,2,1,1,0,18,17,10,2,2,2,2,2,1,PB,32GB,2Gb,64,4,4,1.2V,"64,72",1250,1600,5000 ps,20000 ps,0,8 tck,35000 ps,13750 ps,7800000 ps,350833 ps,0,13750 ps,5000 ps,6250 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,11,9,8
LRDIMMs,HMA84GL7AFR4N-RD,2,1,1,0,18,17,10,2,2,2,2,2,1,RD,32GB,2Gb,64,4,4,1.2V,"64,72",1071,1600,5000 ps,17143 ps,0,8 tck,34000 ps,13920 ps,7800000 ps,350625 ps,0,13920 ps,4286 ps,5357 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,13,10,8
LRDIMMs,HMA84GL7AFR4N-TF,2,1,1,0,18,17,10,2,2,2,2,2,1,TF,32GB,2Gb,64,4,4,1.2V,"64,72",937,1600,5000 ps,15000 ps,0,8 tck,33000 ps,14060 ps,7800000 ps,350357 ps,0,14060 ps,3750 ps,5625 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,15,11,8
LRDIMMs,HMA84GL7AFR4N-UH,2,1,1,0,18,17,10,2,2,2,2,2,1,UH,32GB,2Gb,64,4,4,1.2V,"64,72",833,1600,5000 ps,13333 ps,0,8 tck,32000 ps,14160 ps,7800000 ps,350000 ps,0,14160 ps,3333 ps,5000 ps,0,7500 ps,15000 ps,2500 ps,7500 ps,360 ns,128 tck,1024 tck,0,17,12,8
